star.thisTrialN,star.stepSize,star.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,star.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
55,0.5,17.0,57.701929999981076,,57.69082859996706,57.701929999981076,58.20283080032095,58.20283080032095,58.20283080032095,58.502841300331056,58.62597759999335,left,-17.0,0,0,0.4054477997124195,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
56,0.5,17.5,58.635674400255084,,58.62609390029684,58.635674400255084,59.136712700128555,59.136712700128555,59.15216730022803,59.452141100075096,59.77517129993066,right,17.5,1,1,0.6292231003753841,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
57,0.5,17.5,59.78538110014051,,59.77529320027679,59.78538110014051,60.2858075001277,60.2858075001277,60.2858075001277,60.58501600008458,62.257696399930865,left,-17.5,0,0,1.963309799786657,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
58,0.5,18.0,62.26851599989459,,62.257810099981725,62.26851599989459,62.769164599943906,62.769164599943906,62.769164599943906,63.0688376002945,63.324323300272226,left,-18.0,1,1,0.5377575997263193,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
59,0.5,18.0,63.33506949990988,,63.324440999887884,63.33506949990988,63.83509010029957,63.83509010029957,63.83509010029957,64.13502439996228,64.22406430030242,left,-18.0,1,1,0.380591900087893,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
60,0.5,18.0,64.23483570013195,,64.22418119991198,64.23483570013195,64.73496970022097,64.73496970022097,64.73496970022097,65.03461340023205,65.07445800025016,left,-18.0,1,1,0.33588809985667467,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
61,0.5,17.5,65.08475239994004,,65.07458110013977,65.08475239994004,65.58438460016623,65.58438460016623,65.58438460016623,65.88489319989458,65.9914037999697,right,17.5,0,0,0.40446290001273155,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
62,0.5,18.0,66.00127439992502,,65.99153070012107,66.00127439992502,66.50122260022908,66.50122260022908,66.50122260022908,66.80129410000518,67.14016030030325,right,18.0,1,1,0.6267125001177192,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
63,0.5,18.0,67.15111549990252,,67.14028490008786,67.15111549990252,67.65162099990994,67.65162099990994,67.65162099990994,67.95150270033628,67.9920065999031,right,18.0,1,1,0.3381320000626147,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
64,0.5,18.0,68.00076929992065,,67.99212939990684,68.00076929992065,68.50092989997938,68.50092989997938,68.50092989997938,68.80173900024965,68.80775280017406,right,18.0,1,1,0.30208110017701983,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
